##SAMPLE_ID	Collected tissue sample identification
##TUBE_LABEL	How sample was labeled on storage tube
##SEX	The sex of the bird
##NORM_TUM	Whether sample is characterized as normal or somatic
##TISSUE	Type of collected tissue
##TUMOR_NUM	Number of COLLECTED tumors from bird
##TUMOR_SCORE	Grade of tumor; Scale of 1-3, 3 represents most homologous largest tumor in appearence, interpretation by eye
##COHORT	Experimental cohort
##STORAGE	The storage strategy of tissue based on potential for biological sampling; DNA, RNA, cytogenetics, liquid_nitrogen, immunohistochem
##ANALYSIS	The actual biological tests that have been performed from sample; dna_seq, affy_array, rna_seq, cytogenetics, immunohistochem ,targeted_resequencing
##FILTER	Justification for priority score
###FILTERS:
###filter_1:	All samples that underwent DNA-sequencing from Summer 2014 cohort (plus matching normals)
###filter_2:	All samples that underwent RNA-sequencing from Summer 2014 cohort
###filter_3:	Gonadal tumors with tumor score greater than or equal to 2
###filter_4:	The tumors from birds that possess multiple high quality tumors
###filter_5:	Tumors that have a tumor score of 3 regardless of tissue
###filter_6:	Tumors that have a tumor score of 2 regardless of tissue
###filter_7:	Remaining gonadal tumor samples
###filter_8:	Remaining tumor samples
###filter_9:	Remaining normal samples
#SAMPLE_ID	TUBE_LABEL	SEX	NORM_TUM	TISSUE	TUMOR_NUM	TUMOR_SCORE	COHORT	STORAGE	SAMPLING	FILTER
017845-1	017845-1	male	tumor	heart	2	3	summer_2014	dna;rna	na;targeted_resequencing	5
017932-1	017932-1	male	tumor	spleen	1	3	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	5
S042-T_1	na	male	tumor	prov	2	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	5
S101-T_1	na	female	tumor	thymus	2	3	summer_2017	liquid_nitrogen	na;targeted_resequencing	5
S113-T_1	na	female	tumor	heart	2	3	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	5
017818-2	017818-2	male	tumor	liver	7	2	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	6
017841-2	017841-2	female	tumor	spleen	3	2	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	6
017915-1	017915-1	female	tumor	spleen	1	2	summer_2014	dna;cyto;rna	na;targeted_resequencing	6
S010-T_1	na	female	tumor	heart	3	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S012-T_1	na	male	tumor	prov	2	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	6
S013-T_1	na	female	tumor	spleen	2	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	6
S014-T_2	na	male	tumor	prov	3	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S019-T_1	na	male	tumor	kidney	4	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	6
S020-T_2	na	female	tumor	spleen	3	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S021-T_1	na	female	tumor	spleen	3	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S023-T_3	na	female	tumor	liver	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S026-T_1	na	male	tumor	heart	3	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S028-T_3	na	male	tumor	pancreas	4	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	6
S029-T_1	na	male	tumor	liver	3	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	6
S032-T_3	na	female	tumor	spleen	4	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	6
S035-T_1	na	male	tumor	pancreas	3	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	6
S036-T_1	na	female	tumor	heart	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S037-T_1	na	male	tumor	heart	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S039-T_2	na	female	tumor	spleen	4	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S040-T_4	na	female	tumor	prov	5	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S105-T_1	na	female	tumor	heart	2	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S108-T_1	na	male	tumor	prov	2	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	6
S111-T_1	na	female	tumor	heart	2	2	summer_2017	liquid_nitrogen	na;targeted_resequencing	6
S115-T_1	na	male	tumor	spleen	2	2	summer_2017	liquid_nitrogen	immunohistochem;targeted_resequencing	6
017852-3	017852-3	female	tumor	gonad	4	na	summer_2014	dna	na;targeted_resequencing	7
017860-2	017860-2	male	tumor	gonad	3	1	summer_2014	dna;rna	na;targeted_resequencing	7
017862-1	017862-1	female	tumor	gonad	3	na	summer_2014	dna	na;targeted_resequencing	7
017874-2	017874-2	female	tumor	gonad	2	na	summer_2014	dna	na;targeted_resequencing	7
017898-1	017898-1	male	tumor	gonad	3	na	summer_2014	dna	na;targeted_resequencing	7
017898-2	017898-2	male	tumor	gonad	3	na	summer_2014	dna	na;targeted_resequencing	7
017907-4	017907-4	female	tumor	gonad	4	1	summer_2014	dna;rna	na	7
017930-1	017930-1	male	tumor	gonad	2	1	summer_2014	dna;rna	na;targeted_resequencing	7
S001-T_1	na	female	tumor	gonad	2	na	summer_2017	liquid_nitrogen	na;targeted_resequencing	7
S002-T_1	na	male	tumor	gonad	2	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	7
S035-T_2	na	male	tumor	gonad	3	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	7
S038-T_1	na	male	tumor	gonad	2	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	7
S044-T_2	na	male	tumor	gonad	4	1	summer_2017	liquid_nitrogen	na;targeted_resequencing	7
S044-T_3	na	male	tumor	gonad	4	1	summer_2017	liquid_nitrogen	na	7
017728-1	017728-1	male	tumor	spleen	1	1	summer_2014	dna;cyto;rna	cytogenetics;microarrays;targeted_resequencing	8
017734-1	017734-1	female	tumor	spleen	1	1	summer_2014	dna;cyto;rna	na;targeted_resequencing	8
017738-2	017738-2	female	tumor	heart	2	1	summer_2014	rna	na;targeted_resequencing	8
